Year,TeamId,TeamName,Location,Round,RoundsCompleted,RoundsRemaining,PointsEarnedThisRound,MaxDriverPoints,MinDriverPoints,DriverPointsGap,DNFsThisRound,PointsLast3Rounds,DNFsLast3Rounds,DNFRate,AvgGridPosition,AvgPosition,AvgPointsPerRace,TotalPointFinishes,FormRatio,Consistency,TotalPodiums,TotalPoints,hadPenaltyThisYear,ProjectedGrowth,ProjectedSeasonTotalPoints,RelativePointsShare,CurrentRankAfterRound,PercentileRankAfterRound,CurrentRank
2025,williams,Williams,Baku,17,16,8,15.0,15.0,0.0,15.0,0,31.0,0.0,0.1911764705882352,11.397058823529411,11.602941176470589,2.5294117647058822,19,4.08527077946044,0.59645076778234,1,101.0,0,8.4,109.4,0.0553424657534246,5,0.5555555555555556,5
2025,williams,Williams,Marina Bay,18,17,7,1.0,1.0,0.0,1.0,0,22.0,0.0,0.1805555555555555,11.819444444444445,11.625,2.4166666666666665,20,3.0344823400714014,0.5051712873937723,1,102.0,0,0.0,102.0,0.0529595015576324,5,0.5555555555555556,5
2025,rb,Racing Bulls,Zandvoort,15,14,10,15.0,15.0,0.0,15.0,0,24.0,0.0,0.15,10.716666666666669,11.916666666666666,1.8666666666666667,12,4.2857135204083,0.5335716878936021,1,60.0,0,19.200000000000003,79.2,0.0369685767097966,7,0.3333333333333333,6
2025,rb,Racing Bulls,Monza,16,15,9,1.0,1.0,0.0,1.0,0,20.0,0.0,0.140625,11.203125,11.921875,1.78125,13,3.742689358093219,0.4562798800493678,1,61.0,0,10.0,71.0,0.0353828306264501,7,0.3333333333333333,6
2025,rb,Racing Bulls,Baku,17,16,8,11.0,10.0,1.0,9.0,0,27.0,0.0,0.1323529411764706,10.867647058823527,11.661764705882351,2.0,15,4.4999992500001245,0.5592448630412444,1,72.0,0,7.2,79.2,0.0394520547945205,6,0.4444444444444444,6
2025,rb,Racing Bulls,Marina Bay,18,17,7,0.0,0.0,0.0,0.0,0,12.0,0.0,0.125,10.819444444444445,11.73611111111111,1.8888888888888888,15,2.1176466851211733,0.4868655207424665,1,72.0,0,0.0,72.0,0.0373831775700934,6,0.4444444444444444,6
2025,aston_martin,Aston Martin,Zandvoort,15,14,10,10.0,6.0,4.0,2.0,0,26.0,0.0,0.1,12.566666666666666,11.916666666666666,2.033333333333333,12,4.262294383230429,0.5784128585226795,0,62.0,0,24.0,86.0,0.0382008626001232,6,0.4444444444444444,7
2025,aston_martin,Aston Martin,Monza,16,15,9,0.0,0.0,0.0,0.0,1,26.0,1.0,0.125,12.53125,12.328125,1.90625,12,4.546447292424517,0.4974314758304597,0,62.0,0,13.6,75.6,0.0359628770301624,6,0.4444444444444444,7
2025,aston_martin,Aston Martin,Baku,17,16,8,0.0,0.0,0.0,0.0,0,10.0,1.0,0.1176470588235294,12.529411764705882,12.544117647058824,1.7941176470588236,12,1.8579231520798511,0.4117289276755847,0,62.0,0,5.2,67.2,0.033972602739726,7,0.3333333333333333,7
2025,aston_martin,Aston Martin,Marina Bay,18,17,7,6.0,6.0,0.0,6.0,0,6.0,1.0,0.1111111111111111,12.52777777777778,12.40277777777778,1.8611111111111112,13,1.0746266732011929,0.4833452999449951,0,68.0,0,0.0,68.0,0.0353063343717549,7,0.3333333333333333,7
2025,sauber,Kick Sauber,Zandvoort,15,14,10,0.0,0.0,0.0,0.0,0,10.0,0.0,0.1166666666666666,15.166666666666666,13.3,1.6666666666666667,8,1.99999960000008,0.5146050019180446,1,51.0,0,18.6,69.6,0.0314232902033271,8,0.2222222222222222,8
2025,sauber,Kick Sauber,Monza,16,15,9,4.0,4.0,0.0,4.0,1,12.0,1.0,0.140625,14.8125,13.34375,1.6875,9,2.370369902149155,0.4943340047157787,1,55.0,0,11.6,66.6,0.0319025522041763,8,0.2222222222222222,8
2025,sauber,Kick Sauber,Baku,17,16,8,0.0,0.0,0.0,0.0,0,4.0,1.0,0.1323529411764706,14.823529411764708,13.352941176470589,1.588235294117647,9,0.8395059966468896,0.4555335103597815,1,55.0,0,2.8,57.8,0.0301369863013698,8,0.2222222222222222,8
2025,sauber,Kick Sauber,Marina Bay,18,17,7,0.0,0.0,0.0,0.0,0,4.0,1.0,0.125,14.694444444444445,13.63888888888889,1.5,9,0.8888886913580686,0.4014917242141525,1,55.0,0,0.0,55.0,0.0285565939771547,8,0.2222222222222222,8
2025,haas,Haas F1 Team,Zandvoort,15,14,10,9.0,8.0,1.0,7.0,0,15.0,1.0,0.0833333333333333,15.433333333333334,12.516666666666667,1.1333333333333333,12,4.41176340830488,0.43916458388634,0,44.0,0,9.6,53.6,0.0271102895871842,9,0.1111111111111111,9
2025,haas,Haas F1 Team,Monza,16,15,9,0.0,0.0,0.0,0.0,0,9.0,1.0,0.078125,15.28125,12.578125,1.0625,12,2.823528525951835,0.4142136432533129,0,44.0,0,6.0,50.0,0.025522041763341,9,0.1111111111111111,9
2025,haas,Haas F1 Team,Baku,17,16,8,0.0,0.0,0.0,0.0,0,9.0,0.0,0.0735294117647058,15.411764705882351,12.602941176470589,1.0,12,2.999999000000334,0.4142136432533129,0,44.0,0,3.0,47.0,0.0241095890410958,9,0.1111111111111111,9
2025,haas,Haas F1 Team,Marina Bay,18,17,7,2.0,2.0,0.0,2.0,0,2.0,0.0,0.0694444444444444,15.27777777777778,12.65277777777778,1.0,13,0.6666664444445185,0.3607316707884497,0,46.0,0,0.0,46.0,0.023883696780893,9,0.1111111111111111,9
2025,alpine,Alpine,Zandvoort,15,14,10,0.0,0.0,0.0,0.0,0,1.0,1.0,0.1833333333333333,13.883333333333333,14.766666666666667,0.6333333333333333,5,0.5263155124655198,0.3400815656148536,0,20.0,0,5.4,25.4,0.0123228589032655,10,0.0,10
2025,alpine,Alpine,Monza,16,15,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.171875,14.171875,14.875,0.59375,5,0.0,0.3400815656148536,0,20.0,0,3.6,23.6,0.0116009280742459,10,0.0,10
2025,alpine,Alpine,Baku,17,16,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1617647058823529,14.338235294117649,15.088235294117649,0.5588235294117647,5,0.0,0.3090180620007562,0,20.0,0,0.2,20.2,0.010958904109589,10,0.0,10
2025,alpine,Alpine,Marina Bay,18,17,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1527777777777778,14.51388888888889,15.22222222222222,0.5277777777777778,5,0.0,1.0,0,20.0,0,0.0,20.0,0.0103842159916926,10,0.0,10
