Epoch,Training Loss,Spearman's Rho,Kendall's Tau
1.0,1.456121563911438,-0.34669255696428697,-0.2627841015944844
2.0,1.1399141550064087,-0.09965057466817283,-0.08219393584578082
3.0,1.247068166732788,0.18189721696724775,0.1399083187139232
4.0,1.0901391506195068,0.5143253870721056,0.3972329516587184
5.0,1.0629241466522217,0.7193700418924935,0.5606144696821346
6.0,0.9377405643463135,0.7933429390516368,0.6327700276881645
7.0,0.937507152557373,0.8318677426664203,0.6724203622130958
8.0,0.9081235527992249,0.855501041947422,0.6984849222180632
9.0,0.811387300491333,0.8737327199059417,0.7201215260831908
10.0,0.8456674218177795,0.8825534302276463,0.7309398280157544
11.0,0.7210959792137146,0.8896699147975496,0.7416574945815037
12.0,0.7346005439758301,0.893542705354154,0.7476452989069693
13.0,0.741938591003418,0.895433953121975,0.75076499527822
14.0,0.6416706442832947,0.8973113474071281,0.7538343739660638
15.0,0.6893675923347473,0.8978367902140414,0.7553439044682819
16.0,0.6391035318374634,0.8976324513446863,0.7559980343525766
17.0,0.6167019009590149,0.8969575888318523,0.7558470813023548
18.0,0.5832351446151733,0.8968519560265077,0.7557967636189474
19.0,0.5733770728111267,0.8966597389544871,0.7553942221516893
20.0,0.5811951160430908,0.896158787125862,0.7547400922673947
21.0,0.5673564076423645,0.8959274834420278,0.7546394569005802
22.0,0.5566725730895996,0.8954307371349272,0.7542872331167292
23.0,0.6021157503128052,0.8953654278594917,0.7545891392171729
24.0,0.5080001354217529,0.8950453134564098,0.7542872331167292
25.0,0.5182475447654724,0.8947291571912331,0.7539853270162855
26.0,0.5474914312362671,0.8944924110677794,0.753683420915842
27.0,0.5410909652709961,0.8945310029123548,0.7537840562826565
28.0,0.5080780982971191,0.8947113455706598,0.7540356446996929
29.0,0.48167240619659424,0.8945065119340665,0.7540356446996929
30.0,0.4985082745552063,0.8948820402678209,0.7549413630010239
