Epoch,Training Loss,Spearman's Rho,Kendall's Tau
1.0,0.9721100926399231,0.8333893993073448,0.6707095609772484
2.0,0.911342978477478,0.8595059353566119,0.7035670082421979
3.0,0.7716786861419678,0.8767861759161729,0.7259080596750273
4.0,0.8366956114768982,0.8845609482964323,0.7373301738084782
5.0,0.7310317158699036,0.8898015228828972,0.7446765555859401
6.0,0.682510256767273,0.8933527147347051,0.7505134068611837
7.0,0.7011874318122864,0.8953651804758725,0.7529789733481401
8.0,0.6905370950698853,0.8957815271067742,0.7534821501822129
9.0,0.5717641115188599,0.8951682631150896,0.7530796087149547
10.0,0.6461861729621887,0.8940923917557365,0.7515197605293292
11.0,0.6000980138778687,0.8943296326464285,0.7518719843131801
12.0,0.5233100056648254,0.8937443230036994,0.7513688074791074
13.0,0.5592721104621887,0.8933287185236549,0.7504630891777765
14.0,0.5462220907211304,0.893839813080662,0.7515700782127366
15.0,0.5061609148979187,0.8944570352102517,0.7524757965140675
16.0,0.5112314224243164,0.8946930391828484,0.7528783379813256
17.0,0.5030009746551514,0.8946302037436036,0.7528783379813256
18.0,0.5345138907432556,0.8953228778770109,0.753331197131991
19.0,0.4983852505683899,0.8965385209811407,0.7552935867848747
20.0,0.46976834535598755,0.897276961084077,0.7562999404530203
21.0,0.47565382719039917,0.8977417949043169,0.7576585179050165
22.0,0.4733070731163025,0.8989037557631079,0.7595705898744929
23.0,0.39999905228614807,0.8991597978088496,0.7600234490251584
24.0,0.45018699765205383,0.9000929288199968,0.7606272612260456
25.0,0.45232659578323364,0.9008071253282637,0.7612813911103403
26.0,0.4476112723350525,0.9015265168925309,0.7621871094116712
27.0,0.43710511922836304,0.9022832633832785,0.763092827713002
28.0,0.44772979617118835,0.9026716556652248,0.7635960045470748
29.0,0.4694974720478058,0.9028057375867629,0.7635960045470748
30.0,0.42811599373817444,0.9028903427844861,0.763797275280704
31.0,0.42296522855758667,0.9023067648270906,0.7627406039291512
32.0,0.42661431431770325,0.9025209990412085,0.762891556979373
33.0,0.4274580776691437,0.9025365842092105,0.7630425100295949
34.0,0.44391652941703796,0.9027485919707567,0.763092827713002
35.0,0.46499907970428467,0.9029947386717355,0.7636966399138894
36.0,0.4726880192756653,0.9032495437993817,0.7644010874815913
37.0,0.42143887281417847,0.9029643104865894,0.7639985460143329
38.0,0.42805901169776917,0.9032774981483371,0.7646023582152203
39.0,0.3796542286872864,0.9034721890565486,0.765105535049293
40.0,0.4402819275856018,0.9032161470108068,0.7647533112654421
41.0,0.42318034172058105,0.9029784113528766,0.7640488636977403
42.0,0.4239438772201538,0.9033378597513912,0.7644010874815913
43.0,0.40082958340644836,0.9033450338763443,0.7645520405318129
44.0,0.38210994005203247,0.9035914279609422,0.7650048996824784
45.0,0.3953786790370941,0.9037408476668629,0.7650048996824784
46.0,0.4063079357147217,0.9039130266657385,0.7654074411497367
47.0,0.4041152894496918,0.9042084027069128,0.766011253350624
48.0,0.422526091337204,0.9047491832982086,0.7664137948178822
49.0,0.4244465231895447,0.9049856820380435,0.766766018601733
50.0,0.40633922815322876,0.9051398020327266,0.7670679247021767
