Epoch,Training Loss,Spearman's Rho,Kendall's Tau
1.0,1.2901784181594849,0.49053920471451606,0.34938083473840165
2.0,1.1474609375,0.766335821973703,0.5895471376413167
3.0,1.0226765871047974,0.83837071586102,0.6797164263071503
4.0,1.0735371112823486,0.8626175265173254,0.7149891223756489
5.0,0.9846012592315674,0.8743900181818215,0.7313926871664199
6.0,0.9826727509498596,0.8826563418131811,0.7420600360487619
7.0,0.8155609369277954,0.8874202081656901,0.7478968873240056
8.0,0.8481634259223938,0.8905758336105988,0.7503121361275547
9.0,0.8056334257125854,0.893245845011265,0.7518719843131801
10.0,0.6985179781913757,0.8955893100347536,0.7541362800665073
11.0,0.7458605766296387,0.8979498445279583,0.7577591532718312
12.0,0.7369585037231445,0.9002106834226762,0.760677578909453
13.0,0.6939113140106201,0.9011675632612546,0.7621871094116712
14.0,0.6244699358940125,0.9015646139698683,0.7629418746627802
15.0,0.6000915765762329,0.9016289337108278,0.7633947338134457
16.0,0.5764459371566772,0.9020742242251609,0.7639482283309258
17.0,0.5604382157325745,0.9023376877794749,0.7641998167479621
18.0,0.6542607545852661,0.9026862512987501,0.7648539466322566
19.0,0.5970344543457031,0.9032928359327197,0.766011253350624
20.0,0.5375281572341919,0.9040753103198509,0.7670176070187694
21.0,0.5386078357696533,0.9039842731480316,0.7668163362851402
22.0,0.4922534227371216,0.9042769279693963,0.7673195131192131
23.0,0.4968582093715668,0.9043951773393136,0.7674704661694349
24.0,0.473741739988327,0.9046141118421942,0.7680239606869149
25.0,0.5101617574691772,0.903961761238696,0.7666653832349185
26.0,0.5214799046516418,0.9041562047632882,0.7669169716519548
27.0,0.47575709223747253,0.9041905910863396,0.7665647478681039
28.0,0.49945032596588135,0.9041876224829105,0.7664137948178822
29.0,0.49758270382881165,0.9040819896775659,0.7664641125012893
30.0,0.5011791586875916,0.9043041401674945,0.7667157009183257
31.0,0.46439114212989807,0.9043382791069268,0.766766018601733
32.0,0.4692278206348419,0.9044384694726516,0.7672188777523984
33.0,0.4642266631126404,0.9046846161736303,0.7676214192196568
34.0,0.455936461687088,0.9040288021994651,0.7670176070187694
35.0,0.453542560338974,0.9040010952341289,0.7670176070187694
36.0,0.4462350904941559,0.9041712951640517,0.7672691954358057
37.0,0.45306092500686646,0.9041111809446167,0.7670176070187694
38.0,0.45829373598098755,0.9039612664714578,0.7669169716519548
39.0,0.48504316806793213,0.9036698485681887,0.7663634771344748
